CVE_SUN,NOM_SUN
P30.07,Lerdo de Tejada
C30.09,Martínez de la Torre
C30.09,Martínez de la Torre
C30.09,Martínez de la Torre
C30.09,Martínez de la Torre
C30.09,Martínez de la Torre
P30.08,Misantla
C30.10,Perote
C30.10,Perote
C30.02,José Cardel
C30.11,San Andrés Tuxtla
C30.11,San Andrés Tuxtla
C30.11,San Andrés Tuxtla
P30.09,Santiago Tuxtla
P30.10,Sayula de Alemán
C30.03,Cerro Azul
C30.12,Tantoyuca
C30.12,Tantoyuca
C30.12,Tantoyuca
C30.13,Álamo
C30.13,Álamo
C30.13,Álamo
C30.13,Álamo
C30.13,Álamo
P30.11,Tierra Blanca
C30.14,Tlapacoyan
C30.14,Tlapacoyan
C30.09,Martínez de la Torre
C30.15,Túxpam de Rodríguez Cano
C30.15,Túxpam de Rodríguez Cano
C30.15,Túxpam de Rodríguez Cano
C30.15,Túxpam de Rodríguez Cano
C30.15,Túxpam de Rodríguez Cano
C30.16,Agua Dulce
C30.16,Agua Dulce
C30.17,Tres Valles
C30.17,Tres Valles
C30.17,Tres Valles
C30.04,Cosamaloapan-Carlos A. Carrillo
P31.01,Chemax
P31.02,Izamal
C31.01,Motul de Carrillo Puerto
C31.01,Motul de Carrillo Puerto
P31.03,Oxkutzcab
P31.04,Peto
C31.02,Progreso
C31.02,Progreso
C31.02,Progreso
C31.02,Progreso
P31.05,Tekax de Álvaro Obregón
P31.06,Ticul
P31.07,Tizimín
P31.08,Valladolid
P32.01,Víctor Rosales
C32.01,Fresnillo
C32.01,Fresnillo
P32.02,Jerez de García Salinas
P32.03,Juan Aldama
P32.04,Loreto_ZS
P32.05,Miguel Auza
P32.06,Nochistlán de Mejía
P32.07,Ojocaliente
C32.02,Río Grande
C32.02,Río Grande
P32.08,Sombrerete
P32.09,Tlaltenango de Sánchez Román
C16.03,Ciudad Lázaro Cárdenas
